dataTime,Temperature (ºC),Relative_Humidity (prc),Precipitation (mm),Solar_Radiation (W/m2),Wind_direction (º),Wind_Speed (Km/h),
02:45:00,12.74820694,66.51194289,0,0,95.22956358,19.21370995,
02:50:00,13.26719232,66.32944003,0,0,95.20749867,19.37007871,
02:55:00,12.18951507,67.65785895,0,0,93.61201872,18.62407636,
03:00:00,11.31189879,71,0,0,128.6598,19.523155,
03:05:00,12.0313234,70.48473004,0,0,128.1029824,19.87051083,
03:10:00,11.93462983,70.95673538,0,0,128.5602003,19.17491058,
03:15:00,11.55766374,71.88249337,0,0,129.2231554,20.40178723,
03:20:00,12.91597452,71.44720238,0,0,129.2245028,20.27164692,
03:25:00,9.72997957,71.93330658,0,0,129.6149976,19.48087498,
03:30:00,9.730438973,70.06986553,0,0,128.3479373,20.01610584,
03:35:00,10.34186779,70.22769812,0,0,129.0584383,20.19440794,
03:40:00,11.29086713,70.25929008,0,0,127.9470848,18.62085937,
03:45:00,12.88351988,71.23321295,0,0,129.5908897,19.64703608,
03:50:00,12.7344968,71.69486573,0,0,128.0357753,19.03545711,
03:55:00,11.43729945,71.98832842,0,0,128.4238467,18.80192923,
04:00:00,10.01989845,73,0,0,128.6598,20.721119,
04:05:00,10.99876398,73.92202295,0,0,127.7405431,20.88239785,
04:10:00,10.81709971,73.49012926,0,0,128.6250741,20.43894711,
04:15:00,9.85335126,72.8459405,0,0,129.6461255,20.3770893,
04:20:00,8.816343976,73.56904132,0,0,128.9569534,20.00930206,
04:25:00,10.95891547,73.61136716,0,0,129.0148578,19.75536418,
04:30:00,10.20363714,72.65348656,0,0,128.1679896,21.70673838,
04:35:00,10.27824473,73.86229091,0,0,128.6514302,20.19819406,
04:40:00,9.672184028,72.25838794,0,0,127.9888338,20.31153173,
04:45:00,11.17319298,73.13016955,0,0,128.5069889,21.66682377,
04:50:00,11.3021143,73.53569664,0,0,127.8987651,21.11772342,
04:55:00,10.24198945,72.24295161,0,0,128.0487873,21.17179584,
05:00:00,8.64289862,76,0,0,104.03624,20.418695,
05:05:00,8.951601358,76.81318105,0,0,103.1529295,21.35031642,
05:10:00,7.350957577,75.89144136,0,0,104.5496773,19.92069174,
05:15:00,8.944343893,76.20101905,0,0,103.633092,20.43172161,
05:20:00,10.17347449,75.21949589,0,0,103.7128305,19.83976006,
05:25:00,8.364942833,76.44977214,0,0,104.3540791,19.69023624,
05:30:00,7.866496406,75.25251569,0,0,103.7879765,20.57972485,
05:35:00,7.608093226,75.22067711,0,0,104.7670866,21.2401022,
05:40:00,7.4519459,75.21106843,0,0,104.767361,20.44245708,
05:45:00,9.440124357,75.34043317,0,0,103.0804025,20.63995173,
05:50:00,9.889752401,75.39608817,0,0,103.7054576,20.78494514,
05:55:00,9.692925512,0,0,0,103.3195214,20.57578479,
06:00:00,7.75889862,78,0,2.67,63.43495,17.935081,
06:05:00,6.954997947,78.89460578,0,3.417785876,63.4357887,18.66404484,
06:10:00,8.847298265,78.56652402,0,2.883563032,63.10234956,16.98043105,
06:15:00,6.377214311,78.28244859,0,2.706495192,62.85559758,18.0618288,
06:20:00,7.183539537,77.18352562,0,2.044360013,63.28463344,18.34304123,
06:25:00,6.454517632,78.43647712,0,2.620760855,63.59945223,17.62879779,
06:30:00,7.67188526,78.50784246,0,2.401274089,63.46075902,18.41502407,
06:35:00,8.931249958,78.14183656,0,2.535468829,63.35809315,18.76049663,
06:40:00,7.177469808,77.6696175,0,2.058201803,63.92420681,18.66383709,
